zone,side,tau,eligible,TP,FP,FN,TN,precision,recall,f1,support_pos,n
CAPITL,pos,0.5,True,1162,553,12297,21036,0.6775510204081633,0.08633628055576194,0.1531567154342955,13459,35048
CAPITL,neg,0.82,True,12,14,1881,33141,0.46153846153846156,0.006339144215530904,0.012506513809275666,1893,35048
CENTRL,pos,0.5,True,716,349,10478,23505,0.672300469483568,0.06396283723423263,0.11681213802104577,11194,35048
CENTRL,neg,,False,0,0,1395,33653,,0.0,0.0,1395,35048
DUNWOD,pos,0.56,True,618,293,12012,22125,0.6783754116355654,0.048931116389548696,0.0912783398567314,12630,35048
DUNWOD,neg,,False,0,0,1569,33479,,0.0,0.0,1569,35048
GENESE,pos,0.5,True,723,326,10524,23475,0.6892278360343184,0.06428380901573753,0.11759921925829539,11247,35048
GENESE,neg,,False,0,0,1324,33724,,0.0,0.0,1324,35048
HUDVL,pos,0.5,True,898,445,11780,21925,0.6686522710349962,0.07083136141347215,0.12809357392482704,12678,35048
HUDVL,neg,,False,0,0,1478,33570,,0.0,0.0,1478,35048
LONGIL,pos,0.84,True,107,36,15174,19731,0.7482517482517482,0.007002159544532426,0.013874481327800831,15281,35048
LONGIL,neg,0.56,True,41,26,2414,32567,0.6119402985074627,0.01670061099796334,0.03251387787470262,2455,35048
MHKVL,pos,0.5,True,831,379,10804,23034,0.6867768595041323,0.07142243231628706,0.12938886726352666,11635,35048
MHKVL,neg,,False,0,0,1417,33631,,0.0,0.0,1417,35048
MILLWD,pos,0.82,True,122,25,12484,22417,0.8299319727891157,0.00967793114389973,0.019132753077707204,12606,35048
MILLWD,neg,,False,0,0,1576,33472,,0.0,0.0,1576,35048
NORTH,pos,0.7,True,145,39,11051,23813,0.7880434782608695,0.012951053947838513,0.025483304042179262,11196,35048
NORTH,neg,,False,0,0,1758,33290,,0.0,0.0,1758,35048
NYC,pos,0.75,True,149,63,12402,22434,0.7028301886792453,0.011871564018803283,0.02334874245866959,12551,35048
NYC,neg,,False,0,0,1719,33329,,0.0,0.0,1719,35048
WEST,pos,0.52,True,795,377,11141,22735,0.6783276450511946,0.06660522788203753,0.12129996948428441,11936,35048
WEST,neg,,False,0,0,1216,33832,,0.0,0.0,1216,35048
