zone,side,2022,2023,2024,2025,TOTAL
CAPITL,pos,-2757.620000000001,4582.47,6020.11,13084.21,20929.17
LONGIL,neg,3786.1699999999996,2565.29,96.20999999999994,13407.84,19855.51
MHKVL,pos,8112.73,1925.9699999999998,4096.929999999999,3886.04,18021.67
GENESE,pos,7793.63,1021.45,3064.2799999999997,4501.75,16381.11
WEST,pos,9663.23,1268.31,1762.4099999999999,2927.2999999999997,15621.249999999998
CENTRL,pos,7158.55,709.9000000000001,3377.7599999999998,3107.32,14353.53
NORTH,pos,4532.2,203.76,1718.14,1545.17,7999.27
HUDVL,pos,-5627.76,2363.57,5227.52,4223.25,6186.58
MILLWD,pos,1236.9,-316.61,1221.2,3172.62,5314.110000000001
NYC,pos,1393.32,258.62,765.11,2843.7200000000003,5260.77
LONGIL,pos,364.02000000000004,-177.99000000000004,981.79,3338.32,4506.14
DUNWOD,pos,2137.1,891.5399999999998,4247.01,-2839.05,4436.599999999999
CAPITL,neg,1274.18,336.40999999999997,-35.82000000000001,-137.47999999999996,1437.2900000000002
