zone,side,tau,eligible,TP,FP,FN,TN,precision,recall,f1,support_pos,n
CAPITL,pos,0.5,True,884,470,12575,21119,0.6528803545051699,0.06568095698045917,0.11935462094106528,13459,35048
CAPITL,neg,0.58,True,6,39,1887,33116,0.13333333333333333,0.003169572107765452,0.006191950464396285,1893,35048
CENTRL,pos,0.5,True,481,300,10713,23554,0.615877080665813,0.04296944791852778,0.08033402922755742,11194,35048
CENTRL,neg,0.54,True,2,48,1393,33605,0.04,0.0014336917562724014,0.002768166089965398,1395,35048
DUNWOD,pos,0.86,True,31,15,12599,22403,0.6739130434782609,0.002454473475851148,0.004891132849479331,12630,35048
DUNWOD,neg,0.54,True,10,44,1559,33435,0.18518518518518517,0.006373486297004461,0.012322858903265557,1569,35048
GENESE,pos,0.52,True,339,192,10908,23609,0.6384180790960452,0.030141371032275273,0.05756495160468669,11247,35048
GENESE,neg,,False,0,0,1324,33724,,0.0,0.0,1324,35048
HUDVL,pos,0.5,True,705,362,11973,22008,0.6607310215557638,0.05560814008518694,0.10258275736631504,12678,35048
HUDVL,neg,0.5,True,11,49,1467,33521,0.18333333333333332,0.007442489851150203,0.014304291287386216,1478,35048
LONGIL,pos,0.9,True,25,10,15256,19757,0.7142857142857143,0.0016360185851711276,0.0032645599373204493,15281,35048
LONGIL,neg,0.54,True,25,18,2430,32575,0.5813953488372093,0.010183299389002037,0.020016012810248198,2455,35048
MHKVL,pos,0.5,True,518,330,11117,23083,0.6108490566037735,0.04452084228620541,0.08299287030361291,11635,35048
MHKVL,neg,,False,0,0,1417,33631,,0.0,0.0,1417,35048
MILLWD,pos,0.91,True,24,2,12582,22440,0.9230769230769231,0.0019038553069966682,0.003799873337555415,12606,35048
MILLWD,neg,0.52,True,10,45,1566,33427,0.18181818181818182,0.006345177664974619,0.012262415695892091,1576,35048
NORTH,pos,0.61,True,79,42,11117,23810,0.6528925619834711,0.007056091461236156,0.013961297163559245,11196,35048
NORTH,neg,,False,0,0,1758,33290,,0.0,0.0,1758,35048
NYC,pos,0.87,True,22,4,12529,22493,0.8461538461538461,0.0017528483786152498,0.0034984495507672736,12551,35048
NYC,neg,0.5,True,19,32,1700,33297,0.37254901960784315,0.011052937754508435,0.021468926553672316,1719,35048
WEST,pos,0.51,True,599,379,11337,22733,0.6124744376278118,0.0501843163538874,0.09276753910484745,11936,35048
WEST,neg,,False,0,0,1216,33832,,0.0,0.0,1216,35048
